date,day,week,university,enrollment,url,total_tests,positive_tests
2021-02-10,Wednesday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1016.0,0.0
2021-02-11,Thursday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,843.0,4.0
2021-02-12,Friday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,884.0,1.0
2021-02-13,Saturday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,907.0,0.0
2021-02-14,Sunday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-15,Monday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-16,Tuesday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-17,Wednesday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1492.0,1.0
2021-02-18,Thursday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,844.0,2.0
2021-02-19,Friday,28,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,832.0,0.0
2021-02-20,Saturday,29,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-21,Sunday,29,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-01,Saturday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-02,Sunday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-03,Monday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-04,Tuesday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-05,Wednesday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-06,Thursday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-07,Friday,0,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-08,Saturday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-09,Sunday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-10,Monday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-11,Tuesday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-12,Wednesday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-13,Thursday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-14,Friday,1,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-15,Saturday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-16,Sunday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-17,Monday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-18,Tuesday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
